Data,Mês,Gasto TV,Gasto Rádio,Gasto Redes Sociais,Gasto Email,Promoção,Atividade Concorrente,Receita Vendas
2021-01-04,1,53.68,21.59,40.39,10.71,0,0,780.28
2021-01-11,1,44.39,24.47,26.13,9.13,1,0,1005.71
2021-01-18,1,43.09,3.1,23.64,15.37,1,0,959.65
2021-01-25,1,43.09,11.49,20.1,5.64,0,0,839.35
2021-02-01,2,71.22,32.61,16.36,10.56,0,0,910.96
2021-02-08,2,57.1,9.25,14.83,13.99,0,0,914.71
2021-02-15,2,39.38,30.56,21.44,22.13,0,0,894.01
2021-02-22,2,53.55,9.22,37.92,9.63,0,0,914.63
2021-03-01,3,50.6,11.91,34.98,7.91,0,0,879.66
2021-03-08,3,24.61,22.08,23.63,9.83,0,0,893.57
2021-03-15,3,33.97,18.9,53.98,15.11,0,0,949.79
2021-03-22,3,51.69,15.61,22.64,15.11,0,1,866.69
2021-03-29,3,71.33,33.13,42.33,8.74,1,0,1114.26
2021-04-05,4,44.56,10.68,46.37,15.23,1,0,1082.76
2021-04-12,4,40.28,17.51,33.14,9.24,0,0,1002.83
2021-04-19,4,49.4,23.53,22.39,12.93,0,1,907.6
2021-04-26,4,39.55,20.89,25.07,11.58,1,0,1067.42
2021-05-03,5,43.65,14.27,30.28,7.9,0,1,855.63
2021-05-10,5,47.58,14.49,17.32,6.22,0,1,830.71
2021-05-17,5,33.97,25.95,20.06,14.81,0,0,1018.93
2021-05-24,5,60.77,26.43,19.49,16.46,0,1,897.35
2021-05-31,5,32.12,21.11,33.96,10.96,0,0,956.38
2021-06-07,6,31.41,13.19,42.16,9.37,1,0,1119.88
2021-06-14,6,51.47,14.9,36.53,5.58,1,0,1207.16
2021-06-21,6,60.25,18.77,39.81,14.88,0,0,1108.83
2021-06-28,6,51.08,19.86,22.08,10.61,0,0,1021.98
2021-07-05,7,46.81,23.52,25.84,8.49,1,0,1031.01
2021-07-12,7,44.19,17.4,26.5,13.28,0,1,978.04
2021-07-19,7,42.01,26.11,33.6,5.14,1,0,1156.85
2021-07-26,7,65.85,26,55.77,6.08,0,0,1066.22
2021-08-02,8,52.65,30.56,22.68,6.96,0,1,927.18
2021-08-09,8,42.39,18.81,38.4,11.44,0,1,974.2
2021-08-16,8,38.58,21.25,45.93,10.03,0,1,958.37
2021-08-23,8,57.24,17.67,33.65,11.98,0,0,1038
2021-08-30,8,64.4,13.05,25.07,14.26,0,1,944.73
2021-09-06,9,64.55,40.94,21.73,12.52,0,0,1064.49
2021-09-13,9,37.69,29.9,20.1,19.24,0,0,1052.57
2021-09-20,9,44.73,26.17,13.77,14.68,0,0,1011.93
2021-09-27,9,42.39,19.12,27.17,9.14,1,0,1087.62
2021-10-04,10,47.87,13.35,27.44,7.87,1,0,1235.77
2021-10-11,10,64.29,28.82,39.9,9.53,0,0,1189.06
2021-10-18,10,74.64,18.61,24.6,13.07,0,0,1101.94
2021-10-25,10,56.47,23.34,28.51,8.23,0,0,1191.15
2021-11-01,11,43.74,16.44,35.09,13.97,0,0,1273.46
2021-11-08,11,53.01,23.1,37.55,13.34,1,0,1359.35
2021-11-15,11,83.41,16.86,40.57,6.93,0,0,1271.35
2021-11-22,11,55.03,17.13,33.93,15.86,0,0,1272.7
2021-11-29,11,48.86,22.98,19.82,12.12,1,0,1219.73
2021-12-06,12,52.13,11.21,37.94,21.36,0,0,1374.49
2021-12-13,12,62.06,11.45,26.4,10.8,0,1,1310.34
2021-12-20,12,43.14,15.95,49.25,9.59,1,0,1393.5
2021-12-27,12,47.68,19.92,33.46,6.82,0,0,1332.99
2022-01-03,1,60.47,25.24,29.91,5.62,1,0,1070.57
2022-01-10,1,51.11,16.92,59.86,13.05,0,0,1029.6
2022-01-17,1,47.7,17.94,35.27,17.01,0,0,928.42
2022-01-24,1,61.37,16.02,31.32,8.66,0,0,951.47
2022-01-31,1,37.1,20.59,26.31,8.43,1,0,993.73
2022-02-07,2,41.19,12.4,17.36,9.16,0,0,839.65
2022-02-14,2,49.83,17.01,25.27,13.86,0,0,820.45
2022-02-21,2,49.31,20.9,20.04,5.92,0,0,909.41
2022-02-28,2,28.62,19.49,45.66,9.8,0,0,912.15
2022-03-07,3,41.27,18.46,31.95,13.38,0,0,924.36
2022-03-14,3,44.77,18.55,41.03,11.21,0,0,876.96
2022-03-21,3,53.08,22.39,22.61,2.29,0,0,909.56
2022-03-28,3,50.83,39.89,21.2,11.99,0,1,930.77
2022-04-04,4,46.7,13.36,35.19,11.42,0,1,972.51
2022-04-11,4,24.94,40.98,20.71,15.64,0,0,967.82
2022-04-18,4,47.39,13.11,24.43,16.97,0,0,998.75
2022-04-25,4,48.65,6.65,48.62,15.33,1,0,1114.31
2022-05-02,5,93.33,14.9,24.76,9.62,0,0,1059.51
2022-05-09,5,45.03,21.39,16.83,4.43,1,0,948.37
2022-05-16,5,52.3,37.05,14.6,20.37,0,1,862.55
2022-05-23,5,66.41,12.57,16.11,8.67,0,1,898.06
2022-05-30,5,59.57,22.68,42.49,9.49,0,0,1067.58
2022-06-06,6,72.32,10.4,23.8,17.71,0,0,986.43
2022-06-13,6,30.6,37.07,61.97,6.86,0,0,1109.57
2022-06-20,6,35.29,29.68,46.82,5.2,0,0,1070.67
2022-06-27,6,40.61,15.51,53.38,7.89,0,0,1020.77
2022-07-04,7,29.01,8.48,40.15,7.02,0,0,973.42
2022-07-11,7,49.52,31.55,35.1,4.98,0,0,963.14
2022-07-18,7,36.15,18.06,21.58,9.15,0,0,944.74
2022-07-25,7,75.19,30.29,28.86,9.79,0,0,1041.08
2022-08-01,8,37.26,18.69,35.73,4.78,0,1,831.16
2022-08-08,8,43.24,19.01,38.72,8.19,0,0,979.47
2022-08-15,8,60.62,15.41,18.79,6.73,0,0,1010.5
2022-08-22,8,32.01,23.84,26.62,3.83,0,0,1024.89
2022-08-29,8,27.99,19.59,27.66,9.77,0,0,962.13
2022-09-05,9,52.05,23.57,28.13,10.48,0,0,1044.3
2022-09-12,9,53.23,9.47,20.26,6.93,0,0,1057.41
2022-09-19,9,61.91,31.18,51.94,14.52,0,0,1086.98
2022-09-26,9,57.48,34.26,27.12,9.69,0,0,1034.54
2022-10-03,10,55.41,20.74,21.38,7.28,0,1,1080.59
2022-10-10,10,40.89,41.73,53.93,4.93,0,0,1133.41
2022-10-17,10,54.35,37.77,48.94,11.02,0,0,1187.57
2022-10-24,10,55.34,25.51,31.66,12.11,1,0,1170.39
2022-10-31,10,40.43,33.14,15.44,8.06,0,0,1029.48
2022-11-07,11,90.18,31.41,27.13,11.1,1,0,1367.78
2022-11-14,11,61.71,9.15,17.56,19.04,0,0,1219.09
2022-11-21,11,39.2,18.69,37.82,14.81,0,0,1299.06
2022-11-28,11,67.5,27.72,26.49,3.67,0,0,1247.14
2022-12-05,12,73.8,39.85,32.91,7.97,0,1,1295.29
2022-12-12,12,63.09,11.61,57.5,10.31,0,0,1386.73
2022-12-19,12,51.71,9.81,26.88,11.23,0,0,1378.56
2022-12-26,12,43.92,21.28,38.8,11.66,0,0,1287.09
2023-01-02,1,45.24,6.66,35.41,10.78,0,0,965.28
2023-01-09,1,51.3,17.43,40.76,8.68,0,0,930.54
2023-01-16,1,46.5,20.95,26.66,9.11,0,0,955.22
2023-01-23,1,70,11.96,25.72,13.07,0,0,909.13
2023-01-30,1,55.72,17.62,25.52,10.15,0,0,958.83
2023-02-06,2,34.69,25.74,30.69,5.34,0,0,911.38
2023-02-13,2,32.28,14.19,43.38,9.3,1,0,1026.99
2023-02-20,2,52.62,12.6,24.73,8.44,0,0,882.6
2023-02-27,2,42.56,17.03,10.37,3.64,1,0,948.2
2023-03-06,3,58.04,11.61,37.31,9.8,0,0,982.17
2023-03-13,3,54.16,37.55,28.66,5.82,0,1,957.05
2023-03-20,3,46.01,18.63,33.23,13.35,0,0,1018.32
2023-03-27,3,35.92,13.57,15.63,10.89,0,0,920.9
2023-04-03,4,28.95,20.34,23.64,5.46,1,0,983.13
2023-04-10,4,50.96,17.8,36.84,13.31,0,0,1064.29
2023-04-17,4,31.84,17.01,17.97,15.75,0,0,984.45
2023-04-24,4,36.03,14.87,33.21,8.4,0,0,997.74
2023-05-01,5,50.04,14.57,28.11,8.82,0,0,964.77
2023-05-08,5,48.62,9.28,21.93,12.79,1,0,1053.45
2023-05-15,5,33,31.21,21.32,15.27,0,0,988.76
2023-05-22,5,65.33,23.43,19.72,4.29,0,0,1017.13
2023-05-29,5,64.81,21.14,29.06,5.74,0,0,956.64
2023-06-05,6,56.51,17.96,30.66,7.96,0,0,1135.35
2023-06-12,6,56.49,12.43,25.43,8.32,0,0,1082.56
2023-06-19,6,56.51,13.64,19.59,12.84,0,0,965.94
2023-06-26,6,130.59,9.88,33.39,15.54,0,0,1137.2
2023-07-03,7,64,14.33,38.7,16,0,0,1134.43
2023-07-10,7,58.77,11.7,35.4,4.31,0,0,1042.19
2023-07-17,7,37.96,35.34,54.15,6.66,0,0,1044.03
2023-07-24,7,45.08,26.66,27.13,5.43,0,0,1093.81
2023-07-31,7,91.36,19.54,44.59,7.34,0,0,1085.93
2023-08-07,8,25.43,12.79,22.66,6.55,0,1,987.81
2023-08-14,8,41.23,11.77,21.41,11.05,0,0,1078.17
2023-08-21,8,65.44,17.23,29.66,11.58,0,0,1054.77
2023-08-28,8,38.1,26.69,47.23,9.35,0,0,1036.54
2023-09-04,9,60.14,10.15,26.51,9.26,0,0,1039.98
2023-09-11,9,49.91,24.02,16.35,8.22,0,0,1063.54
2023-09-18,9,40.09,14.52,39.03,8.62,0,0,1123.86
2023-09-25,9,24.68,15.62,28.55,17.41,0,1,1010.94
2023-10-02,10,53.62,20.18,33.36,13.01,0,0,1142.95
2023-10-09,10,39.41,13.77,23.12,8.6,0,0,1084.67
2023-10-16,10,48.93,17.9,31.37,9.46,0,0,1146.94
2023-10-23,10,58.89,13.28,17.71,11.83,0,0,1137.77
2023-10-30,10,65.26,15.45,53.76,5.79,0,0,1043.54
2023-11-06,11,46.21,28.11,45.12,11.09,0,0,1312.08
2023-11-13,11,43.62,21.79,32.66,13.45,0,0,1273.23
2023-11-20,11,35.53,28.07,42.09,12.77,0,0,1233.1
2023-11-27,11,70.02,15.72,25.44,7.43,0,0,1330.45
2023-12-04,12,100.16,27.29,46.25,8.34,0,0,1450.71
2023-12-11,12,75.22,10.21,29.59,4.21,0,0,1366.78
2023-12-18,12,80.19,22.21,28.87,14.59,0,1,1412.19
2023-12-25,12,44.6,28,23.57,23.06,0,0,1427.6
