Data,Cidade,Representante,Produto,Unidades,preco_unitario
2023-06-28,Pimenta,Representante 6,Produto A,51,75
2023-01-14,Arcos,Representante 10,Produto C,26,30
2023-07-14,Formiga,Representante 12,Produto A,2,75
2023-11-02,Piumhi,Representante 15,Produto A,20,80
2023-04-28,Formiga,Representante 9,Produto A,13,75
2023-10-26,Formiga,Representante 15,Produto C,76,95
2023-08-17,Formiga,Representante 4,Produto C,47,35
2023-09-01,Piumhi,Representante 9,Produto B,98,100
2023-01-14,Piumhi,Representante 5,Produto A,87,65
2023-06-02,Formiga,Representante 14,Produto A,61,10
2023-03-31,Pimenta,Representante 17,Produto A,60,70
2023-04-01,Formiga,Representante 2,Produto B,86,40
2023-09-13,Arcos,Representante 19,Produto B,6,20
2023-07-16,Pimenta,Representante 5,Produto B,80,10
2023-04-01,Formiga,Representante 11,Produto B,89,75
2023-12-14,Formiga,Representante 1,Produto B,90,75
2023-05-17,Arcos,Representante 7,Produto B,79,95
2023-12-21,Pimenta,Representante 15,Produto B,41,85
2023-11-24,Arcos,Representante 5,Produto A,51,10
2023-01-26,Arcos,Representante 11,Produto B,98,25
2023-01-07,Formiga,Representante 16,Produto C,79,60
2023-05-17,Arcos,Representante 10,Produto A,62,70
2023-09-11,Formiga,Representante 2,Produto A,8,15
2023-07-30,Formiga,Representante 6,Produto B,5,45
2023-03-19,Arcos,Representante 12,Produto B,53,85
2023-03-22,Arcos,Representante 19,Produto C,18,30
2023-02-12,Formiga,Representante 12,Produto A,94,65
2023-12-25,Formiga,Representante 3,Produto B,81,35
2023-11-28,Arcos,Representante 8,Produto B,32,30
2023-05-23,Formiga,Representante 13,Produto B,20,25
2023-02-01,Arcos,Representante 16,Produto B,78,85
2023-04-19,Arcos,Representante 2,Produto B,20,85
2023-09-20,Arcos,Representante 13,Produto C,66,15
2023-11-26,Formiga,Representante 13,Produto B,38,80
2023-01-23,Arcos,Representante 6,Produto C,61,75
2023-11-05,Arcos,Representante 19,Produto A,92,95
2023-05-15,Formiga,Representante 11,Produto B,87,65
2023-11-05,Arcos,Representante 12,Produto A,61,85
2023-08-12,Pimenta,Representante 11,Produto A,29,65
2023-06-15,Formiga,Representante 1,Produto C,71,95
2023-08-05,Piumhi,Representante 8,Produto A,23,70
2023-10-17,Arcos,Representante 1,Produto B,7,85
2023-03-10,Pimenta,Representante 8,Produto A,19,80
2023-03-13,Formiga,Representante 12,Produto A,86,85
2023-03-17,Formiga,Representante 8,Produto B,95,10
2023-03-04,Pimenta,Representante 16,Produto B,42,35
2023-05-21,Piumhi,Representante 10,Produto C,48,75
2023-07-29,Formiga,Representante 15,Produto A,30,65
2023-12-19,Formiga,Representante 10,Produto A,22,60
2023-12-13,Formiga,Representante 8,Produto B,92,40
2023-06-02,Arcos,Representante 8,Produto A,61,15
2023-10-21,Formiga,Representante 2,Produto A,1,30
2023-10-04,Arcos,Representante 14,Produto A,92,90
2023-02-10,Formiga,Representante 18,Produto A,1,90
2023-03-31,Formiga,Representante 11,Produto B,52,95
2023-11-12,Arcos,Representante 2,Produto B,81,100
2023-08-11,Formiga,Representante 19,Produto C,1,75
2023-01-16,Piumhi,Representante 16,Produto A,83,15
2023-04-26,Pimenta,Representante 2,Produto A,66,55
2023-04-04,Pimenta,Representante 9,Produto B,32,50
2023-09-19,Arcos,Representante 5,Produto B,65,85
2023-08-23,Formiga,Representante 6,Produto B,31,10
2023-03-27,Pimenta,Representante 18,Produto B,9,70
2023-12-08,Pimenta,Representante 17,Produto A,2,40
2023-02-08,Piumhi,Representante 12,Produto C,57,10
2023-06-08,Formiga,Representante 15,Produto C,62,65
2023-08-28,Arcos,Representante 2,Produto C,42,90
2023-07-28,Formiga,Representante 14,Produto C,66,40
2023-11-02,Arcos,Representante 2,Produto A,26,25
2023-02-03,Pimenta,Representante 16,Produto B,84,100
2023-01-04,Formiga,Representante 15,Produto B,84,20
2023-01-13,Formiga,Representante 10,Produto A,64,40
2023-03-10,Piumhi,Representante 3,Produto B,59,40
2023-08-31,Arcos,Representante 2,Produto C,63,50
2023-11-04,Formiga,Representante 11,Produto A,45,45
2023-10-05,Pimenta,Representante 8,Produto C,73,95
2023-03-30,Piumhi,Representante 16,Produto A,76,35
2023-01-25,Formiga,Representante 9,Produto B,35,10
2023-10-18,Arcos,Representante 15,Produto B,92,70
2023-10-13,Formiga,Representante 13,Produto B,30,35
2023-06-08,Piumhi,Representante 18,Produto A,30,55
2023-05-01,Piumhi,Representante 15,Produto A,87,70
2023-04-20,Formiga,Representante 12,Produto B,35,25
2023-06-07,Formiga,Representante 9,Produto A,87,25
2023-03-05,Arcos,Representante 3,Produto B,78,80
2023-07-18,Arcos,Representante 13,Produto B,54,10
2023-03-08,Arcos,Representante 9,Produto A,46,30
2023-05-31,Formiga,Representante 16,Produto C,49,90
2023-12-01,Formiga,Representante 5,Produto A,31,15
2023-03-26,Arcos,Representante 8,Produto B,30,35
2023-06-14,Formiga,Representante 18,Produto A,28,30
2023-05-16,Piumhi,Representante 6,Produto A,80,90
2023-02-20,Pimenta,Representante 8,Produto A,53,95
2023-03-15,Formiga,Representante 11,Produto C,22,100
2023-06-27,Formiga,Representante 11,Produto C,55,70
2023-12-28,Formiga,Representante 6,Produto A,21,75
2023-08-24,Formiga,Representante 4,Produto C,29,25
2023-04-08,Formiga,Representante 15,Produto B,32,15
2023-11-26,Formiga,Representante 17,Produto B,68,60
2023-08-02,Formiga,Representante 8,Produto C,62,65
2023-05-07,Arcos,Representante 11,Produto B,76,35
2023-07-31,Formiga,Representante 18,Produto A,67,10
2023-06-23,Arcos,Representante 14,Produto B,14,30
2023-09-30,Formiga,Representante 12,Produto B,54,75
2023-10-29,Arcos,Representante 8,Produto B,94,45
2023-11-06,Formiga,Representante 3,Produto A,14,90
2023-08-20,Formiga,Representante 10,Produto B,18,90
2023-08-31,Formiga,Representante 19,Produto B,52,30
2023-12-16,Arcos,Representante 12,Produto B,10,25
2023-12-01,Formiga,Representante 14,Produto C,30,45
2023-10-07,Pimenta,Representante 13,Produto C,89,80
2023-04-23,Arcos,Representante 6,Produto C,80,30
2023-04-17,Pimenta,Representante 7,Produto A,13,25
2023-05-31,Formiga,Representante 4,Produto A,44,100
2023-06-03,Formiga,Representante 10,Produto C,26,75
2023-04-12,Formiga,Representante 16,Produto C,90,10
2023-09-12,Formiga,Representante 16,Produto B,24,100
2023-06-09,Formiga,Representante 3,Produto C,95,80
2023-06-04,Piumhi,Representante 19,Produto B,41,95
2023-01-05,Formiga,Representante 19,Produto A,32,85
2023-11-22,Formiga,Representante 7,Produto A,27,75
2023-09-29,Arcos,Representante 6,Produto B,10,95
2023-10-07,Formiga,Representante 15,Produto A,90,90
2023-10-15,Arcos,Representante 2,Produto C,10,50
2023-10-04,Arcos,Representante 14,Produto B,2,80
2023-02-24,Formiga,Representante 4,Produto A,70,60
2023-11-27,Formiga,Representante 10,Produto A,92,85
2023-08-26,Formiga,Representante 5,Produto A,57,60
2023-09-09,Arcos,Representante 12,Produto A,66,70
2023-12-05,Piumhi,Representante 4,Produto C,45,100
2023-02-08,Piumhi,Representante 3,Produto B,82,45
2023-11-06,Formiga,Representante 7,Produto B,18,75
2023-05-17,Formiga,Representante 11,Produto A,75,10
2023-08-14,Formiga,Representante 15,Produto A,7,10
2023-02-17,Formiga,Representante 2,Produto A,14,50
2023-03-18,Formiga,Representante 9,Produto B,56,90
2023-03-24,Arcos,Representante 13,Produto A,50,55
2023-07-03,Formiga,Representante 11,Produto A,34,80
2023-02-08,Formiga,Representante 8,Produto B,48,35
2023-07-15,Piumhi,Representante 8,Produto A,82,75
2023-09-14,Arcos,Representante 6,Produto A,62,60
2023-06-17,Formiga,Representante 5,Produto A,24,45
2023-10-13,Pimenta,Representante 9,Produto C,73,95
2023-04-04,Formiga,Representante 9,Produto C,41,85
2023-09-29,Arcos,Representante 5,Produto A,1,50
2023-12-10,Formiga,Representante 16,Produto B,64,35
2023-11-06,Formiga,Representante 10,Produto A,34,85
2023-01-20,Pimenta,Representante 1,Produto B,61,50
2023-12-26,Formiga,Representante 10,Produto A,93,25
2023-07-14,Pimenta,Representante 2,Produto C,90,65
2023-12-15,Formiga,Representante 3,Produto A,38,60
2023-06-13,Formiga,Representante 13,Produto A,50,15
2023-02-21,Arcos,Representante 7,Produto A,99,30
2023-12-30,Formiga,Representante 13,Produto A,17,50
2023-01-22,Formiga,Representante 15,Produto B,98,40
2023-06-26,Arcos,Representante 6,Produto A,2,95
2023-02-11,Formiga,Representante 15,Produto B,38,50
2023-11-11,Formiga,Representante 2,Produto B,96,70
2023-03-25,Formiga,Representante 17,Produto A,14,10
2023-01-11,Formiga,Representante 3,Produto C,1,15
2023-05-01,Arcos,Representante 18,Produto A,57,100
2023-10-29,Formiga,Representante 10,Produto C,63,40
2023-03-26,Formiga,Representante 12,Produto A,61,95
2023-12-31,Formiga,Representante 8,Produto A,100,25
2023-07-13,Pimenta,Representante 8,Produto B,58,55
2023-04-17,Arcos,Representante 9,Produto B,20,50
2023-03-18,Arcos,Representante 4,Produto A,77,20
2023-07-17,Formiga,Representante 20,Produto A,47,40
2023-09-06,Formiga,Representante 15,Produto A,43,95
2023-07-19,Formiga,Representante 17,Produto A,39,40
2023-06-09,Arcos,Representante 2,Produto C,57,75
2023-09-07,Pimenta,Representante 7,Produto B,92,35
2023-10-19,Arcos,Representante 13,Produto B,59,100
2023-01-16,Arcos,Representante 8,Produto C,58,75
2023-02-02,Formiga,Representante 17,Produto A,22,85
2023-02-09,Formiga,Representante 12,Produto A,44,15
2023-01-10,Arcos,Representante 13,Produto A,57,60
2023-07-19,Formiga,Representante 16,Produto A,36,65
2023-05-05,Arcos,Representante 10,Produto A,99,90
2023-09-22,Formiga,Representante 5,Produto B,81,70
2023-09-20,Arcos,Representante 15,Produto A,70,30
2023-07-05,Formiga,Representante 6,Produto B,34,40
2023-03-02,Formiga,Representante 17,Produto A,61,85
2023-09-09,Pimenta,Representante 5,Produto B,38,55
2023-06-01,Pimenta,Representante 11,Produto B,47,75
2023-11-15,Formiga,Representante 16,Produto A,78,10
2023-02-23,Pimenta,Representante 12,Produto B,8,45
2023-01-26,Formiga,Representante 11,Produto C,35,35
2023-08-23,Arcos,Representante 8,Produto B,55,50
2023-10-16,Formiga,Representante 1,Produto B,40,10
2023-07-04,Arcos,Representante 3,Produto A,72,45
2023-09-10,Arcos,Representante 14,Produto A,6,100
2023-04-25,Formiga,Representante 10,Produto B,26,75
2023-01-10,Piumhi,Representante 20,Produto B,52,55
2023-11-05,Piumhi,Representante 15,Produto C,43,65
2023-02-23,Formiga,Representante 7,Produto B,4,30
2023-07-24,Arcos,Representante 16,Produto A,11,55
2023-12-29,Formiga,Representante 12,Produto C,20,75
2023-09-24,Formiga,Representante 20,Produto B,24,90
2023-01-25,Formiga,Representante 9,Produto A,87,65
2023-02-21,Formiga,Representante 3,Produto A,4,90
2023-10-09,Formiga,Representante 19,Produto C,4,30
2023-08-03,Formiga,Representante 13,Produto A,84,55
2023-12-12,Arcos,Representante 8,Produto B,64,55
2023-06-09,Formiga,Representante 17,Produto A,99,50
2023-02-26,Pimenta,Representante 4,Produto B,1,60
2023-04-15,Arcos,Representante 10,Produto B,15,80
2023-12-23,Formiga,Representante 17,Produto A,80,100
2023-10-06,Arcos,Representante 10,Produto B,98,25
2023-09-27,Pimenta,Representante 5,Produto A,82,90
2023-05-14,Arcos,Representante 11,Produto B,11,45
2023-12-13,Arcos,Representante 9,Produto A,57,50
2023-05-09,Formiga,Representante 12,Produto A,33,100
2023-08-06,Arcos,Representante 5,Produto A,13,40
2023-04-16,Pimenta,Representante 4,Produto A,1,35
2023-07-05,Pimenta,Representante 2,Produto A,63,95
2023-12-03,Formiga,Representante 1,Produto B,64,45
2023-10-12,Formiga,Representante 19,Produto A,35,65
2023-01-26,Formiga,Representante 16,Produto C,20,55
2023-01-27,Arcos,Representante 11,Produto A,76,35
2023-01-07,Formiga,Representante 7,Produto A,80,35
2023-09-02,Pimenta,Representante 5,Produto B,97,70
2023-06-03,Arcos,Representante 2,Produto A,87,45
2023-02-10,Piumhi,Representante 9,Produto C,2,90
2023-07-31,Formiga,Representante 15,Produto B,68,45
2023-08-10,Piumhi,Representante 6,Produto A,54,65
2023-06-08,Arcos,Representante 6,Produto A,69,65
2023-12-15,Pimenta,Representante 4,Produto A,83,85
2023-05-25,Formiga,Representante 15,Produto B,64,85
2023-02-26,Formiga,Representante 6,Produto A,63,10
2023-05-28,Formiga,Representante 3,Produto B,35,75
2023-06-12,Arcos,Representante 10,Produto C,34,85
2023-08-26,Formiga,Representante 5,Produto A,84,55
2023-06-10,Formiga,Representante 6,Produto A,26,80
2023-03-07,Formiga,Representante 1,Produto C,42,40
2023-01-04,Arcos,Representante 3,Produto A,63,20
2023-11-26,Formiga,Representante 8,Produto C,57,25
2023-08-13,Pimenta,Representante 2,Produto A,5,80
2023-04-27,Formiga,Representante 14,Produto C,51,70
2023-01-25,Arcos,Representante 19,Produto C,22,75
2023-05-16,Pimenta,Representante 1,Produto C,4,100
2023-02-24,Formiga,Representante 3,Produto A,96,75
2023-08-05,Formiga,Representante 5,Produto A,15,10
2023-03-26,Arcos,Representante 13,Produto C,3,35
2023-02-14,Arcos,Representante 9,Produto A,79,90
2023-05-26,Formiga,Representante 17,Produto C,89,20
2023-06-19,Piumhi,Representante 15,Produto B,88,20
2023-05-14,Formiga,Representante 14,Produto B,98,10
2023-07-18,Formiga,Representante 17,Produto B,43,90
2023-12-27,Formiga,Representante 17,Produto A,40,95
2023-06-25,Arcos,Representante 8,Produto A,34,50
2023-09-02,Arcos,Representante 5,Produto A,50,75
2023-11-05,Formiga,Representante 12,Produto A,86,80
2023-04-14,Arcos,Representante 20,Produto B,19,85
2023-11-05,Formiga,Representante 20,Produto A,46,70
2023-11-15,Arcos,Representante 5,Produto C,42,90
2023-07-18,Arcos,Representante 18,Produto C,3,50
2023-07-29,Arcos,Representante 8,Produto B,2,50
2023-12-15,Arcos,Representante 19,Produto A,38,45
2023-08-13,Formiga,Representante 3,Produto C,32,45
2023-09-15,Formiga,Representante 5,Produto A,53,85
2023-06-26,Arcos,Representante 8,Produto C,75,100
2023-05-21,Piumhi,Representante 12,Produto B,76,65
2023-01-24,Formiga,Representante 5,Produto B,18,95
2023-05-10,Formiga,Representante 15,Produto A,30,95
2023-06-14,Formiga,Representante 10,Produto A,7,95
2023-07-10,Arcos,Representante 20,Produto B,13,80
2023-03-17,Arcos,Representante 9,Produto A,77,65
2023-09-26,Arcos,Representante 9,Produto A,75,60
2023-06-19,Piumhi,Representante 17,Produto A,77,10
2023-07-17,Formiga,Representante 9,Produto C,85,45
2023-12-28,Formiga,Representante 10,Produto B,10,95
2023-08-22,Formiga,Representante 5,Produto A,16,20
2023-03-05,Pimenta,Representante 11,Produto B,53,90
2023-03-21,Pimenta,Representante 16,Produto A,1,40
2023-02-05,Pimenta,Representante 14,Produto B,57,80
2023-10-18,Piumhi,Representante 14,Produto A,7,70
2023-09-10,Arcos,Representante 13,Produto B,35,40
2023-12-09,Formiga,Representante 15,Produto B,94,50
2023-11-19,Formiga,Representante 14,Produto B,80,95
2023-02-17,Arcos,Representante 7,Produto A,74,60
2023-04-21,Formiga,Representante 10,Produto A,81,85
2023-10-06,Formiga,Representante 9,Produto A,65,10
2023-11-13,Piumhi,Representante 13,Produto A,100,60
2023-10-22,Pimenta,Representante 14,Produto B,60,25
2023-08-10,Arcos,Representante 16,Produto A,60,65
2023-10-14,Formiga,Representante 5,Produto A,25,40
2023-08-10,Arcos,Representante 13,Produto B,58,65
2023-03-14,Piumhi,Representante 14,Produto B,54,35
2023-10-19,Arcos,Representante 8,Produto B,2,25
2023-08-14,Formiga,Representante 7,Produto B,34,10
2023-10-05,Formiga,Representante 3,Produto C,37,35
2023-06-21,Formiga,Representante 13,Produto C,69,10
2023-10-24,Pimenta,Representante 14,Produto C,71,30
2023-12-14,Formiga,Representante 13,Produto B,34,10
2023-04-03,Piumhi,Representante 13,Produto B,62,70
2023-05-05,Arcos,Representante 14,Produto C,36,25
2023-10-26,Arcos,Representante 18,Produto A,48,40
2023-02-08,Piumhi,Representante 20,Produto B,60,75
2023-08-25,Formiga,Representante 20,Produto A,19,45
2023-06-14,Pimenta,Representante 11,Produto B,97,75
2023-04-17,Formiga,Representante 8,Produto B,93,55
2023-02-02,Arcos,Representante 15,Produto A,20,45
2023-03-24,Formiga,Representante 8,Produto A,86,25
2023-12-20,Formiga,Representante 15,Produto A,15,100
2023-10-04,Arcos,Representante 1,Produto C,11,15
2023-07-28,Formiga,Representante 18,Produto A,50,50
2023-03-17,Arcos,Representante 9,Produto B,49,10
2023-04-04,Formiga,Representante 12,Produto B,67,90
2023-10-18,Formiga,Representante 17,Produto A,24,65
2023-01-30,Piumhi,Representante 13,Produto A,62,85
2023-08-05,Formiga,Representante 16,Produto A,68,100
2023-06-24,Formiga,Representante 1,Produto B,33,50
2023-11-19,Piumhi,Representante 6,Produto B,13,45
2023-04-25,Pimenta,Representante 17,Produto A,49,85
2023-12-04,Arcos,Representante 6,Produto A,53,85
2023-04-06,Formiga,Representante 4,Produto A,95,85
2023-12-24,Pimenta,Representante 10,Produto B,59,60
2023-06-19,Piumhi,Representante 15,Produto B,70,30
2023-04-06,Pimenta,Representante 2,Produto A,7,25
2023-01-26,Formiga,Representante 7,Produto A,39,55
2023-08-18,Piumhi,Representante 18,Produto C,60,80
2023-05-28,Arcos,Representante 9,Produto B,63,20
2023-12-16,Formiga,Representante 1,Produto B,60,35
2023-07-21,Formiga,Representante 11,Produto A,54,60
2023-03-22,Formiga,Representante 8,Produto A,21,55
2023-12-04,Pimenta,Representante 18,Produto B,89,35
2023-08-20,Arcos,Representante 14,Produto A,84,65
2023-08-31,Piumhi,Representante 8,Produto B,47,100
2023-04-16,Formiga,Representante 8,Produto A,5,75
2023-01-11,Piumhi,Representante 7,Produto B,95,75
2023-04-23,Pimenta,Representante 20,Produto C,48,75
