Data,Cidade,Representante,Produto,Unidades,preco_unitario
2023-12-31,Formiga,Representante 15,Produto A,78,35
2023-03-20,Piumhi,Representante 2,Produto B,12,60
2023-08-15,Arcos,Representante 1,Produto B,14,50
2023-11-18,Formiga,Representante 9,Produto A,21,100
2023-11-22,Formiga,Representante 3,Produto A,74,100
2023-04-20,Formiga,Representante 4,Produto A,21,15
2023-11-11,Formiga,Representante 9,Produto A,69,20
2023-08-31,Formiga,Representante 11,Produto B,88,80
2023-09-22,Formiga,Representante 19,Produto A,82,70
2023-01-23,Arcos,Representante 9,Produto C,74,10
2023-10-08,Piumhi,Representante 10,Produto C,8,90
2023-04-22,Formiga,Representante 16,Produto C,32,55
2023-04-03,Arcos,Representante 12,Produto B,73,75
2023-10-04,Formiga,Representante 13,Produto A,69,60
2023-04-29,Arcos,Representante 13,Produto B,61,20
2023-02-17,Formiga,Representante 15,Produto A,40,80
2023-09-05,Formiga,Representante 4,Produto A,90,20
2023-04-15,Piumhi,Representante 8,Produto A,65,80
2023-06-20,Arcos,Representante 10,Produto A,50,90
2023-07-03,Arcos,Representante 5,Produto B,44,90
2023-01-04,Formiga,Representante 18,Produto A,42,20
2023-11-23,Formiga,Representante 14,Produto B,16,60
2023-11-08,Pimenta,Representante 6,Produto A,96,60
2023-02-19,Pimenta,Representante 19,Produto B,63,40
2023-05-19,Arcos,Representante 19,Produto A,65,75
2023-09-03,Formiga,Representante 18,Produto C,77,55
2023-11-27,Formiga,Representante 6,Produto C,19,95
2023-11-12,Formiga,Representante 8,Produto A,83,95
2023-09-07,Arcos,Representante 7,Produto B,51,100
2023-08-18,Formiga,Representante 12,Produto B,28,45
2023-03-26,Arcos,Representante 4,Produto A,90,65
2023-11-26,Formiga,Representante 12,Produto B,86,40
2023-05-01,Arcos,Representante 17,Produto C,98,40
2023-04-24,Pimenta,Representante 10,Produto C,45,70
2023-07-14,Piumhi,Representante 8,Produto B,12,50
2023-04-09,Arcos,Representante 10,Produto A,45,50
2023-04-08,Formiga,Representante 15,Produto B,26,85
2023-02-27,Formiga,Representante 10,Produto A,40,95
2023-01-13,Pimenta,Representante 11,Produto A,45,65
2023-01-08,Formiga,Representante 18,Produto A,89,60
2023-09-15,Pimenta,Representante 20,Produto A,29,10
2023-05-03,Arcos,Representante 12,Produto A,82,20
2023-09-19,Formiga,Representante 2,Produto B,15,75
2023-03-28,Piumhi,Representante 1,Produto C,3,95
2023-01-17,Formiga,Representante 19,Produto B,72,40
2023-07-25,Formiga,Representante 15,Produto A,57,60
2023-07-18,Formiga,Representante 13,Produto C,4,100
2023-03-18,Formiga,Representante 6,Produto A,54,35
2023-11-24,Arcos,Representante 3,Produto C,7,85
2023-12-24,Arcos,Representante 11,Produto B,59,70
2023-08-22,Formiga,Representante 4,Produto A,42,85
2023-01-17,Pimenta,Representante 10,Produto A,96,75
2023-11-23,Piumhi,Representante 15,Produto A,67,80
2023-02-24,Arcos,Representante 3,Produto C,11,40
2023-01-19,Arcos,Representante 4,Produto B,73,10
2023-08-29,Formiga,Representante 6,Produto C,3,85
2023-09-28,Formiga,Representante 15,Produto C,50,40
2023-08-06,Formiga,Representante 7,Produto B,70,15
2023-06-04,Formiga,Representante 2,Produto A,81,15
2023-07-28,Formiga,Representante 20,Produto B,47,30
2023-02-02,Formiga,Representante 17,Produto C,66,85
2023-11-02,Formiga,Representante 13,Produto C,75,55
2023-10-01,Arcos,Representante 6,Produto A,49,65
2023-05-28,Arcos,Representante 2,Produto B,99,95
2023-12-13,Formiga,Representante 12,Produto A,39,50
2023-10-25,Piumhi,Representante 9,Produto B,47,35
2023-03-15,Arcos,Representante 9,Produto A,98,65
2023-02-22,Formiga,Representante 12,Produto B,34,10
2023-11-15,Formiga,Representante 19,Produto A,98,85
2023-11-25,Formiga,Representante 2,Produto B,59,45
2023-06-08,Formiga,Representante 6,Produto C,28,95
2023-12-05,Pimenta,Representante 11,Produto A,56,80
2023-02-24,Formiga,Representante 9,Produto B,9,80
2023-09-04,Formiga,Representante 19,Produto B,57,50
2023-01-18,Piumhi,Representante 14,Produto B,70,25
2023-12-30,Formiga,Representante 12,Produto C,4,80
2023-02-13,Arcos,Representante 1,Produto C,79,40
2023-12-14,Arcos,Representante 2,Produto C,51,75
2023-01-21,Arcos,Representante 18,Produto C,95,45
2023-01-29,Piumhi,Representante 7,Produto B,10,55
2023-03-25,Formiga,Representante 5,Produto C,83,50
2023-01-23,Piumhi,Representante 15,Produto B,72,40
2023-02-11,Arcos,Representante 5,Produto A,47,25
2023-07-16,Formiga,Representante 12,Produto B,3,55
2023-07-13,Formiga,Representante 4,Produto A,7,10
2023-03-23,Formiga,Representante 4,Produto B,41,10
2023-11-14,Formiga,Representante 8,Produto A,67,65
2023-03-05,Formiga,Representante 1,Produto B,4,75
2023-03-18,Pimenta,Representante 20,Produto A,51,15
2023-04-17,Formiga,Representante 16,Produto A,13,65
2023-06-28,Formiga,Representante 15,Produto C,39,40
2023-05-26,Pimenta,Representante 14,Produto C,12,10
2023-09-23,Formiga,Representante 10,Produto A,7,100
2023-07-20,Arcos,Representante 16,Produto B,13,20
2023-12-21,Piumhi,Representante 14,Produto B,7,25
2023-12-05,Arcos,Representante 13,Produto B,48,65
2023-07-19,Formiga,Representante 8,Produto C,70,90
2023-08-25,Formiga,Representante 18,Produto C,72,60
2023-09-15,Arcos,Representante 15,Produto A,53,90
2023-09-11,Formiga,Representante 2,Produto A,60,100
2023-04-22,Pimenta,Representante 11,Produto B,30,85
2023-01-05,Arcos,Representante 1,Produto A,96,40
2023-04-10,Formiga,Representante 13,Produto B,100,95
2023-05-23,Arcos,Representante 8,Produto B,4,50
2023-08-22,Arcos,Representante 8,Produto B,41,15
2023-04-13,Formiga,Representante 18,Produto B,50,25
2023-02-27,Arcos,Representante 7,Produto A,78,30
2023-10-17,Piumhi,Representante 13,Produto B,98,80
2023-10-14,Pimenta,Representante 15,Produto B,47,100
2023-01-18,Arcos,Representante 8,Produto A,7,75
2023-10-29,Arcos,Representante 16,Produto B,76,55
2023-09-22,Arcos,Representante 14,Produto C,67,40
2023-03-20,Formiga,Representante 16,Produto A,28,40
2023-05-15,Formiga,Representante 12,Produto A,33,95
2023-11-17,Pimenta,Representante 16,Produto A,91,10
2023-01-09,Arcos,Representante 11,Produto B,31,10
2023-12-21,Arcos,Representante 5,Produto B,44,25
2023-10-08,Formiga,Representante 4,Produto B,100,25
2023-05-10,Formiga,Representante 14,Produto C,41,65
2023-07-15,Arcos,Representante 8,Produto A,65,15
2023-02-09,Formiga,Representante 15,Produto C,50,20
2023-05-28,Arcos,Representante 11,Produto B,49,95
2023-05-19,Arcos,Representante 20,Produto C,73,90
2023-01-18,Formiga,Representante 10,Produto A,59,50
2023-12-14,Formiga,Representante 19,Produto A,35,40
2023-03-08,Arcos,Representante 5,Produto A,39,90
2023-08-08,Formiga,Representante 1,Produto A,88,70
2023-04-03,Formiga,Representante 12,Produto A,44,65
2023-02-08,Arcos,Representante 18,Produto A,100,55
2023-05-31,Formiga,Representante 6,Produto A,80,55
2023-03-20,Formiga,Representante 19,Produto A,13,30
2023-12-10,Arcos,Representante 15,Produto A,38,65
2023-06-17,Arcos,Representante 18,Produto B,17,90
2023-06-10,Formiga,Representante 10,Produto B,61,95
2023-01-29,Formiga,Representante 1,Produto B,22,25
2023-05-01,Arcos,Representante 6,Produto A,35,55
2023-08-29,Pimenta,Representante 8,Produto A,51,65
2023-06-02,Formiga,Representante 9,Produto A,47,45
2023-02-11,Piumhi,Representante 18,Produto A,57,50
2023-02-13,Formiga,Representante 15,Produto C,53,20
2023-08-12,Formiga,Representante 8,Produto B,68,90
2023-01-08,Formiga,Representante 5,Produto C,64,65
2023-02-08,Pimenta,Representante 18,Produto B,3,60
2023-12-18,Formiga,Representante 8,Produto A,37,80
2023-11-17,Arcos,Representante 20,Produto A,35,90
2023-12-16,Pimenta,Representante 20,Produto A,67,50
2023-11-10,Formiga,Representante 4,Produto A,12,85
2023-08-05,Arcos,Representante 9,Produto C,81,10
2023-07-03,Formiga,Representante 11,Produto B,32,55
2023-06-20,Formiga,Representante 16,Produto B,36,10
2023-02-25,Piumhi,Representante 10,Produto C,22,40
2023-10-05,Formiga,Representante 4,Produto A,11,65
2023-04-09,Formiga,Representante 1,Produto A,21,100
2023-05-22,Piumhi,Representante 11,Produto B,10,75
2023-08-17,Formiga,Representante 2,Produto A,71,20
2023-03-05,Arcos,Representante 8,Produto A,98,30
2023-08-30,Formiga,Representante 13,Produto A,77,65
2023-10-07,Piumhi,Representante 18,Produto A,56,10
2023-08-10,Piumhi,Representante 10,Produto B,26,15
2023-01-08,Pimenta,Representante 20,Produto A,1,75
2023-05-28,Formiga,Representante 19,Produto B,42,40
2023-03-15,Arcos,Representante 4,Produto B,21,80
2023-03-27,Formiga,Representante 13,Produto A,44,90
2023-01-17,Formiga,Representante 15,Produto B,13,70
2023-05-17,Piumhi,Representante 3,Produto A,62,45
2023-06-12,Piumhi,Representante 18,Produto B,79,100
2023-07-04,Formiga,Representante 4,Produto A,82,10
2023-05-24,Arcos,Representante 18,Produto A,88,20
2023-11-04,Formiga,Representante 12,Produto A,16,30
2023-12-21,Formiga,Representante 17,Produto B,90,15
2023-02-04,Arcos,Representante 11,Produto A,90,40
2023-01-26,Formiga,Representante 10,Produto B,84,90
2023-09-26,Formiga,Representante 15,Produto C,54,70
2023-02-05,Piumhi,Representante 20,Produto B,60,25
2023-06-24,Arcos,Representante 16,Produto A,13,15
2023-01-28,Pimenta,Representante 4,Produto B,55,25
2023-06-06,Formiga,Representante 14,Produto B,72,45
2023-10-27,Formiga,Representante 6,Produto A,73,20
2023-11-06,Arcos,Representante 5,Produto A,71,50
2023-06-02,Formiga,Representante 2,Produto A,98,45
2023-10-12,Formiga,Representante 20,Produto A,38,40
2023-05-28,Pimenta,Representante 13,Produto B,65,45
2023-04-03,Formiga,Representante 11,Produto B,44,25
2023-09-26,Formiga,Representante 2,Produto B,72,100
2023-07-24,Formiga,Representante 5,Produto A,88,60
2023-06-12,Formiga,Representante 3,Produto C,20,60
2023-01-05,Formiga,Representante 5,Produto C,9,35
2023-02-25,Formiga,Representante 4,Produto A,65,25
2023-03-18,Piumhi,Representante 19,Produto B,98,10
2023-12-14,Piumhi,Representante 15,Produto C,66,100
2023-06-21,Piumhi,Representante 5,Produto B,92,20
2023-03-13,Formiga,Representante 18,Produto A,52,60
2023-05-06,Formiga,Representante 14,Produto B,74,20
2023-06-01,Formiga,Representante 9,Produto A,94,95
2023-07-27,Formiga,Representante 11,Produto C,1,45
2023-03-16,Pimenta,Representante 3,Produto B,80,85
2023-03-28,Formiga,Representante 11,Produto B,21,25
2023-04-04,Arcos,Representante 18,Produto A,72,15
2023-10-31,Arcos,Representante 20,Produto A,8,95
2023-09-28,Formiga,Representante 6,Produto B,98,45
2023-11-17,Arcos,Representante 1,Produto A,96,65
2023-07-01,Formiga,Representante 6,Produto A,71,90
2023-09-23,Arcos,Representante 4,Produto A,47,35
2023-03-27,Arcos,Representante 18,Produto A,39,80
2023-02-11,Formiga,Representante 11,Produto A,80,70
2023-04-10,Piumhi,Representante 20,Produto B,12,35
2023-01-25,Formiga,Representante 11,Produto C,75,55
2023-04-04,Formiga,Representante 14,Produto B,65,70
2023-06-29,Pimenta,Representante 6,Produto A,65,85
2023-10-20,Formiga,Representante 4,Produto A,77,20
2023-01-27,Formiga,Representante 12,Produto A,94,100
2023-07-20,Pimenta,Representante 16,Produto A,1,50
2023-07-30,Arcos,Representante 10,Produto C,5,80
2023-02-04,Pimenta,Representante 10,Produto C,98,35
2023-07-10,Formiga,Representante 20,Produto C,84,50
2023-12-09,Pimenta,Representante 7,Produto A,1,85
2023-03-17,Formiga,Representante 7,Produto A,4,100
2023-07-26,Arcos,Representante 8,Produto A,22,25
2023-10-18,Arcos,Representante 7,Produto A,68,70
2023-06-06,Formiga,Representante 16,Produto B,22,40
2023-11-23,Arcos,Representante 8,Produto B,46,85
2023-02-03,Arcos,Representante 3,Produto A,25,60
2023-07-20,Piumhi,Representante 6,Produto B,84,95
2023-10-30,Formiga,Representante 9,Produto A,36,75
2023-05-09,Arcos,Representante 2,Produto B,10,25
2023-09-23,Formiga,Representante 13,Produto C,50,80
2023-06-18,Formiga,Representante 18,Produto C,56,85
2023-02-08,Arcos,Representante 1,Produto C,1,55
2023-08-30,Arcos,Representante 15,Produto B,90,60
2023-12-30,Pimenta,Representante 8,Produto A,88,100
2023-08-03,Formiga,Representante 11,Produto A,21,10
2023-04-13,Arcos,Representante 13,Produto C,100,30
2023-03-21,Formiga,Representante 10,Produto B,62,85
2023-12-12,Arcos,Representante 20,Produto A,26,15
2023-01-02,Arcos,Representante 13,Produto B,80,55
2023-06-11,Arcos,Representante 9,Produto B,60,30
2023-03-19,Formiga,Representante 5,Produto B,50,85
2023-06-07,Arcos,Representante 3,Produto B,54,65
2023-06-05,Formiga,Representante 9,Produto A,62,80
2023-08-03,Formiga,Representante 20,Produto A,2,10
2023-07-05,Formiga,Representante 1,Produto B,96,65
2023-10-13,Formiga,Representante 9,Produto B,94,45
2023-08-05,Formiga,Representante 6,Produto A,26,55
2023-11-22,Arcos,Representante 10,Produto B,78,55
2023-07-14,Formiga,Representante 6,Produto B,97,40
2023-07-06,Formiga,Representante 11,Produto A,72,55
2023-04-25,Arcos,Representante 4,Produto A,61,80
2023-08-26,Arcos,Representante 11,Produto A,95,35
2023-02-17,Arcos,Representante 12,Produto A,100,30
2023-05-18,Formiga,Representante 16,Produto C,51,100
2023-01-28,Formiga,Representante 18,Produto A,63,40
2023-07-23,Piumhi,Representante 2,Produto A,14,65
2023-08-30,Piumhi,Representante 18,Produto B,29,80
2023-11-19,Piumhi,Representante 8,Produto B,18,25
2023-02-13,Arcos,Representante 5,Produto B,97,35
2023-06-10,Formiga,Representante 9,Produto B,24,30
2023-06-13,Piumhi,Representante 3,Produto B,95,85
2023-04-25,Piumhi,Representante 6,Produto C,5,50
2023-12-01,Formiga,Representante 14,Produto C,23,95
2023-03-18,Formiga,Representante 5,Produto B,98,25
2023-06-23,Arcos,Representante 2,Produto C,62,70
2023-04-04,Formiga,Representante 9,Produto A,62,85
2023-04-29,Formiga,Representante 4,Produto A,22,70
2023-05-26,Formiga,Representante 12,Produto A,24,20
2023-12-30,Arcos,Representante 1,Produto A,44,35
2023-04-13,Pimenta,Representante 1,Produto A,26,90
2023-10-09,Formiga,Representante 18,Produto A,83,100
2023-10-19,Arcos,Representante 12,Produto A,85,35
2023-02-25,Formiga,Representante 11,Produto C,25,55
2023-11-09,Formiga,Representante 12,Produto B,53,45
2023-01-03,Formiga,Representante 11,Produto B,23,45
2023-08-05,Formiga,Representante 15,Produto B,46,20
2023-01-11,Formiga,Representante 5,Produto A,97,55
2023-02-20,Formiga,Representante 20,Produto B,17,95
2023-09-29,Arcos,Representante 18,Produto B,42,95
2023-01-11,Arcos,Representante 3,Produto A,41,30
2023-08-18,Formiga,Representante 19,Produto B,72,80
2023-12-18,Pimenta,Representante 17,Produto B,42,80
2023-08-11,Formiga,Representante 15,Produto A,83,80
2023-04-11,Formiga,Representante 3,Produto B,66,15
2023-05-25,Formiga,Representante 5,Produto B,51,30
2023-05-13,Arcos,Representante 18,Produto A,39,90
2023-04-25,Arcos,Representante 10,Produto C,70,35
2023-12-01,Arcos,Representante 5,Produto A,34,100
2023-08-31,Pimenta,Representante 3,Produto C,1,30
2023-04-06,Formiga,Representante 8,Produto C,92,25
2023-11-14,Formiga,Representante 11,Produto A,74,75
2023-04-01,Formiga,Representante 13,Produto A,40,80
2023-03-30,Formiga,Representante 19,Produto B,10,65
2023-05-23,Formiga,Representante 4,Produto B,43,95
2023-05-03,Piumhi,Representante 20,Produto A,32,35
2023-10-18,Formiga,Representante 17,Produto A,79,35
2023-01-30,Formiga,Representante 4,Produto A,60,85
2023-06-11,Piumhi,Representante 16,Produto A,54,80
2023-03-10,Formiga,Representante 9,Produto C,77,85
2023-05-10,Formiga,Representante 14,Produto A,42,15
2023-07-27,Piumhi,Representante 11,Produto C,19,55
2023-01-23,Formiga,Representante 5,Produto C,31,100
2023-08-04,Piumhi,Representante 11,Produto A,66,45
2023-10-04,Formiga,Representante 12,Produto C,61,80
2023-10-02,Arcos,Representante 6,Produto A,99,30
2023-07-30,Arcos,Representante 3,Produto C,87,20
2023-07-30,Formiga,Representante 15,Produto A,54,60
2023-07-16,Arcos,Representante 14,Produto A,53,25
2023-06-22,Arcos,Representante 17,Produto C,17,40
2023-07-27,Formiga,Representante 7,Produto A,73,75
2023-12-26,Formiga,Representante 1,Produto B,4,55
2023-02-01,Formiga,Representante 18,Produto B,96,80
2023-02-17,Piumhi,Representante 3,Produto A,60,20
2023-09-28,Piumhi,Representante 9,Produto B,82,80
2023-06-03,Formiga,Representante 11,Produto C,29,25
2023-02-04,Arcos,Representante 20,Produto B,14,15
2023-02-24,Arcos,Representante 17,Produto A,76,75
2023-06-01,Piumhi,Representante 15,Produto A,18,10
2023-01-17,Arcos,Representante 4,Produto B,50,95
2023-11-23,Arcos,Representante 18,Produto A,1,30
2023-11-29,Formiga,Representante 3,Produto C,47,10
2023-07-05,Piumhi,Representante 20,Produto B,39,15
2023-09-26,Pimenta,Representante 4,Produto A,49,60
2023-11-20,Formiga,Representante 11,Produto A,63,25
2023-05-07,Formiga,Representante 12,Produto C,7,60
2023-01-25,Arcos,Representante 13,Produto A,57,70
2023-01-29,Arcos,Representante 18,Produto B,51,35
2023-06-30,Formiga,Representante 11,Produto A,48,30
2023-01-16,Pimenta,Representante 8,Produto A,33,85
2023-06-18,Arcos,Representante 19,Produto C,50,75
2023-08-28,Formiga,Representante 16,Produto B,13,20
2023-01-09,Formiga,Representante 15,Produto B,82,100
2023-10-20,Pimenta,Representante 18,Produto A,70,95
2023-11-06,Formiga,Representante 20,Produto A,21,75
2023-08-02,Formiga,Representante 5,Produto A,82,15
2023-08-26,Formiga,Representante 7,Produto B,85,50
2023-08-24,Arcos,Representante 18,Produto C,60,90
2023-01-24,Formiga,Representante 18,Produto A,8,75
